Run 1 
-------------
Benchmark,max sketch status,max sketch time,min sketch status,min sketch time
sortedlist,success, 0.67,success, 5.62
even_list,success, 2.52,success, 10.98
list_trues,error,,error,
list_incr_one,success, 0.60,success, 5.33
list_twos,success, 1.25,success, 3.30
list_twos_even_len,success, 0.69,timeout,
len_even_list,success, 0.74,timeout,
len_k_list,success, 0.66,success, 2.13
list_twos_len_k,success, 0.67,success, 2.56
uniquelist,success, 0.54,success, 1.46
duplicatelist,success, 0.72,success, 3.83
depthtree,success, 1.15,success, 8.02
complete_tree,success, 0.70,success, 4.29
incr_one_tree,success, 1.54,success, 191.74
nonemptytree,success, 3.48,success, 11.82
twos_tree,success, 2.99,success, 16.48
rbtree_busted,success, 37.26,success, 63.17
rbtree,error,,error,
depth_bst,success, 44.96,success, 729.96
avl_tree,error,,error,
stlc_gen_term_size,success, 5.24,success, 583.16
stlc_scoped_term,error,,error,
good_stack,error,,error,
equals2,error,,error,
equals2sym,error,,error,
equals2or5,error,,error,
equals2or5andTrue,error,,error,
existsA,error,,error,
between_5_10,error,,error,
gt5,error,,error,
between_lo_hi,error,,error,
between_lo_hi_or_zero,error,,error,

Run 2
-------------
Benchmark,max sketch status,max sketch time,min sketch status,min sketch time
sortedlist,success, 0.70,success, 6.13
even_list,success, 2.65,success, 10.70
list_trues,error,,error,
list_incr_one,success, 0.63,success, 5.48
list_twos,success, 1.13,success, 3.35
list_twos_even_len,success, 0.70,timeout,
len_even_list,success, 0.72,timeout,
len_k_list,success, 0.67,success, 2.11
list_twos_len_k,success, 0.66,success, 2.51
uniquelist,success, 0.53,success, 1.41
duplicatelist,success, 0.65,success, 3.77
depthtree,success, 1.14,success, 7.94
complete_tree,success, 0.71,success, 4.13
incr_one_tree,success, 1.56,success, 186.52
nonemptytree,success, 3.29,success, 11.69
twos_tree,success, 3.08,success, 16.96
rbtree_busted,success, 39.19,success, 63.40
rbtree,error,,error,
depth_bst,success, 45.80,success, 703.48
avl_tree,error,,error,
stlc_gen_term_size,success, 4.92,success, 568.99
stlc_scoped_term,error,,error,
good_stack,error,,error,
equals2,error,,error,
equals2sym,error,,error,
equals2or5,error,,error,
equals2or5andTrue,error,,error,
existsA,error,,error,
between_5_10,error,,error,
gt5,error,,error,
between_lo_hi,error,,error,
between_lo_hi_or_zero,error,,error,
